Vertex,a8:f7:d9:59:b7:81,a8:f7:d9:59:b7:a1,a8:f7:d9:59:c9:b1,a8:f7:d9:59:cc:e1,a8:f7:d9:59:cd:01,a8:f7:d9:59:cd:61,a8:f7:d9:5a:4a:21,a8:f7:d9:5a:4a:41,a8:f7:d9:5a:4a:81,a8:f7:d9:5a:4a:a1,a8:f7:d9:5a:4f:01,a8:f7:d9:5a:4f:21,a8:f7:d9:5a:4f:61,a8:f7:d9:5a:4f:81,a8:f7:d9:5a:50:21,a8:f7:d9:5a:50:41,a8:f7:d9:5a:59:51,a8:f7:d9:5a:59:71,a8:f7:d9:5a:59:b1,a8:f7:d9:5a:59:d1,a8:f7:d9:5a:5b:91,a8:f7:d9:5a:5b:b1,a8:f7:d9:5a:5b:f2,a8:f7:d9:5a:5c:12,a8:f7:d9:5a:5e:c1,a8:f7:d9:5a:5e:e1,a8:f7:d9:5a:5e:f1,a8:f7:d9:5a:5f:11,a8:f7:d9:5a:61:31,a8:f7:d9:5a:61:51,a8:f7:d9:5a:69:11,a8:f7:d9:5a:69:31,a8:f7:d9:5a:6a:c1,a8:f7:d9:5a:6a:e1,a8:f7:d9:5a:6b:81,a8:f7:d9:5a:6b:a1,a8:f7:d9:5a:70:31,a8:f7:d9:5a:70:51,a8:f7:d9:c4:3d:b1,a8:f7:d9:c4:3d:d1,a8:f7:d9:c4:50:a1,a8:f7:d9:c4:50:c1,a8:f7:d9:e6:c5:21,a8:f7:d9:e6:c5:41,a8:f7:d9:e6:c9:31,a8:f7:d9:e6:cd:91,a8:f7:d9:e6:cd:b1,a8:f7:d9:e6:d0:f1,a8:f7:d9:e6:d1:11
5,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-80,-87,-100,-100,-100,-100,-65,-68,-100,-100,-100,-100,-70,-82,-100,-100,-100,-67,-71,-78,-100,-57,-100,-82,-100,-100,-100,-100,-100,-100,-100,-79,-81,-87,-100
5,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-85,-100,-100,-100,-87,-100,-100,-100,-100,-65,-66,-100,-100,-100,-100,-70,-77,-100,-100,-69,-66,-100,-80,-100,-57,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100
5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-88,-100,-100,-100,-100,-65,-67,-100,-100,-100,-100,-69,-78,-100,-100,-70,-62,-100,-79,-56,-56,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100
5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-87,-100,-100,-100,-100,-65,-69,-100,-100,-100,-100,-69,-78,-100,-100,-71,-72,-100,-78,-54,-57,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100
5,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-79,-83,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-100,-100,-100,-100,-80,-80,-100,-100,-77,-76,-79,-85,-51,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-82,-100,-100
5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-84,-100,-100,-80,-100,-100,-100,-100,-100,-72,-81,-100,-100,-100,-100,-73,-82,-100,-100,-100,-67,-100,-84,-55,-56,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100
5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-86,-100,-100,-100,-100,-100,-100,-100,-100,-74,-73,-100,-100,-100,-100,-75,-81,-100,-100,-72,-75,-100,-84,-54,-57,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100
5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-80,-100,-100,-100,-100,-100,-75,-77,-100,-100,-100,-100,-74,-81,-100,-100,-75,-67,-79,-82,-55,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100
5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-84,-100,-100,-80,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-73,-79,-100,-100,-100,-70,-81,-80,-100,-59,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100
5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-75,-78,-100,-100,-70,-69,-100,-84,-56,-58,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100
